product_id,month,units,product_name,supply_score,quantity_on_hand
5,9,576,ppe, 3,164
2,7,1475,diagnostics, 6,180
9,6,1184,ventilators,12,164
5,9,3728,ppe, 3,170
6,3,4135,respirators,10,158
1,5,623,biologics,10,164
1,5,91,biologics, 2,158
10,4,4737,visors, 1,174
7,1,160,sanitizers, 6,182
4,2,3563,oxygen_tanks, 2,164
3,10,426,masks, 2,160
10,4,2463,visors, 4,164
7,1,3995,sanitizers,11,164
9,6,1691,ventilators, 3,165
10,4,2924,visors,11,172
9,6,4004,ventilators,20,168
2,7,3568,diagnostics,10,156
3,10,2253,masks, 6,180
3,10,1273,masks, 2,160
9,6,4020,ventilators,40,172
4,2,4966,oxygen_tanks, 6,180
6,3,4344,respirators, 4,168
6,3,1321,respirators,20,165
6,3,4586,respirators,10,162
2,7,652,diagnostics, 6,165
4,2,1758,oxygen_tanks,10,171
6,3,1374,respirators, 3,165
7,1,2367,sanitizers,10,180
6,3,1241,respirators, 4,182
3,10,2209,masks, 6,162
2,7,3699,diagnostics, 0,159
1,5,3682,biologics,12,178
8,8,1780,vaccines,10,170
9,6,3189,ventilators, 3,174
3,10,4784,masks,21,168
8,8,1103,vaccines, 1,181
7,1,3956,sanitizers,10,175
8,8,2024,vaccines, 2,156
2,7,2919,diagnostics, 2,172
10,4,4865,visors, 2,180
10,4,2694,visors, 7,177
6,3,4732,respirators, 2,176
6,3,1470,respirators, 4,176
6,3,4459,respirators, 4,160
4,2,2724,oxygen_tanks,12,175
8,8,4465,vaccines, 5,190
7,1,4040,sanitizers, 3,170
7,1,3600,sanitizers,20,179
2,7,1189,diagnostics, 2,172
8,8,2891,vaccines, 2,167
7,1,3383,sanitizers, 2,185
9,6,3485,ventilators,20,171
6,3,3619,respirators, 1,176
10,4,3358,visors,15,158
1,5,1574,biologics, 8,175
6,3,2798,respirators, 6,167
5,9,2200,ppe, 6,180
10,4,3776,visors,10,174
10,4,2763,visors,10,163
9,6,1701,ventilators, 5,158
6,3,2703,respirators, 6,156
6,3,3044,respirators, 4,156
1,5,2575,biologics, 0,160
1,5,3415,biologics, 4,166
9,6,2450,ventilators, 0,176
6,3,2678,respirators,10,162
4,2,3006,oxygen_tanks, 2,152
10,4,3802,visors, 4,168
10,4,655,visors, 4,156
9,6,4402,ventilators, 3,168
5,9,4981,ppe,12,176
1,5,4325,biologics, 5,180
5,9,2660,ppe,10,174
2,7,2814,diagnostics, 7,184
4,2,1256,oxygen_tanks,10,170
3,10,693,masks, 0,165
7,1,2437,sanitizers, 3,167
10,4,479,visors, 6,164
10,4,3116,visors, 7,158
2,7,4726,diagnostics,10,160
9,6,1084,ventilators,20,175
3,10,4167,masks,15,163
1,5,317,biologics,10,168
1,5,4756,biologics, 5,172
7,1,324,sanitizers,12,185
8,8,2372,vaccines, 4,175
5,9,849,ppe, 1,170
8,8,3788,vaccines, 1,175
1,5,3927,biologics, 4,176
1,5,2220,biologics, 9,170
7,1,4932,sanitizers,10,182
8,8,1693,vaccines, 8,164
10,4,3658,visors,10,167
7,1,644,sanitizers,10,189
6,3,2666,respirators, 4,164
8,8,4486,vaccines,28,167
7,1,420,sanitizers, 6,170
2,7,2409,diagnostics,10,170
3,10,1876,masks, 5,175
1,5,4028,biologics, 3,165
1,5,4301,biologics, 3,177
9,6,437,ventilators, 8,170
1,5,1973,biologics,12,165
5,9,4427,ppe, 5,173
6,3,1383,respirators,10,155
9,6,3946,ventilators, 8,176
6,3,1587,respirators, 9,164
5,9,1368,ppe, 2,170
5,9,2638,ppe, 2,178
6,3,3511,respirators, 3,160
10,4,2878,visors, 9,164
8,8,3537,vaccines, 8,160
2,7,4547,diagnostics,10,171
3,10,15,masks, 5,174
2,7,4391,diagnostics,99,166
8,8,2102,vaccines, 2,175
8,8,4600,vaccines, 3,182
1,5,806,biologics, 8,171
4,2,1698,oxygen_tanks,12,176
1,5,4801,biologics, 2,170
5,9,4924,ppe, 6,170
8,8,2098,vaccines, 8,170
6,3,4131,respirators,10,180
4,2,1187,oxygen_tanks, 4,160
5,9,3935,ppe, 3,162
6,3,434,respirators, 4,186
6,3,4215,respirators, 7,170
6,3,2862,respirators, 3,185
7,1,2692,sanitizers,10,156
9,6,529,ventilators, 0,170
8,8,1939,vaccines, 5,167
7,1,174,sanitizers, 3,170
8,8,1867,vaccines, 3,162
10,4,4631,visors,10,171
3,10,912,masks, 1,166
10,4,2380,visors, 3,164
3,10,3250,masks, 2,175
7,1,775,sanitizers,10,176
7,1,3952,sanitizers, 3,161
1,5,3923,biologics, 1,168
1,5,4461,biologics, 5,160
4,2,2753,oxygen_tanks,10,173
5,9,4914,ppe, 1,168
4,2,34,oxygen_tanks,10,180
1,5,2321,biologics, 3,163
7,1,2065,sanitizers, 6,157
1,5,3162,biologics, 8,168
5,9,1309,ppe,15,186
6,3,595,respirators,10,182
1,5,4188,biologics, 5,180
7,1,1233,sanitizers, 5,178
1,5,4201,biologics,10,180
10,4,4640,visors, 5,156
10,4,705,visors,10,167
4,2,297,oxygen_tanks, 3,178
3,10,4984,masks, 3,167
5,9,3558,ppe, 4,168
6,3,2793,respirators,10,160
4,2,3083,oxygen_tanks, 8,164
9,6,467,ventilators, 5,175
6,3,1424,respirators,10,118
3,10,3924,masks, 1,164
7,1,4693,sanitizers, 5,160
2,7,2907,diagnostics,10,173
8,8,4855,vaccines, 4,168
6,3,162,respirators,20,186
3,10,1870,masks, 5,168
10,4,3361,visors,10,180
9,6,221,ventilators,20,185
3,10,1389,masks,10,160
5,9,3324,ppe, 2,172
2,7,1341,diagnostics, 4,170
8,8,1918,vaccines, 4,170
2,7,1854,diagnostics, 4,187
6,3,1460,respirators, 8,176
9,6,3171,ventilators, 7,156
1,5,4334,biologics, 5,166
8,8,1830,vaccines,10,176
8,8,3379,vaccines,25,178
1,5,713,biologics, 6,178
3,10,2066,masks, 2,165
2,7,949,diagnostics,16,168
5,9,4777,ppe, 5,178
10,4,1172,visors, 8,170
8,8,809,vaccines,10,160
4,2,1452,oxygen_tanks, 9,150
10,4,1871,visors,10,167
9,6,4925,ventilators, 6,199
10,4,4193,visors,10,160
2,7,4723,diagnostics,10,158
4,2,1297,oxygen_tanks,25,169
10,4,4059,visors, 3,168
10,4,2086,visors, 2,164
1,5,2155,biologics, 1,166
9,6,4206,ventilators, 3,170
7,1,3004,sanitizers, 3,173
6,3,3360,respirators, 1,170
4,2,2593,oxygen_tanks,10,175
7,1,3294,sanitizers, 3,153
2,7,4761,diagnostics, 2,162
7,1,1178,sanitizers, 4,170
7,1,615,sanitizers, 7,160
1,5,664,biologics, 3,158
3,10,3719,masks,11,158
10,4,3149,visors, 6,162
9,6,905,ventilators,12,183
6,3,3286,respirators, 5,160
7,1,3166,sanitizers, 3,164
8,8,2005,vaccines, 4,165
3,10,3045,masks, 7,165
8,8,626,vaccines,10,160
10,4,1792,visors,12,168
10,4,3819,visors, 0,180
10,4,153,visors, 1,175
9,6,1649,ventilators,15,160
3,10,3249,masks, 1,172
2,7,1298,diagnostics,10,168
2,7,3281,diagnostics, 8,165
2,7,810,diagnostics, 7,158
3,10,4413,masks,10,160
1,5,1436,biologics, 4,188
4,2,3635,oxygen_tanks, 3,168
4,2,3594,oxygen_tanks, 4,172
6,3,733,respirators, 4,185
10,4,2547,visors, 1,174
9,6,1799,ventilators, 2,159
6,3,1099,respirators,10,172
5,9,866,ppe, 4,176
6,3,1708,respirators, 4,178
6,3,3322,respirators,15,175
3,10,1563,masks, 5,170
3,10,1478,masks, 4,164
8,8,3315,vaccines, 0,164
1,5,4428,biologics, 2,165
10,4,4084,visors, 1,168
4,2,4258,oxygen_tanks, 0,157
8,8,988,vaccines,10,166
9,6,1788,ventilators, 1,175
1,5,4976,biologics,10,182
3,10,3142,masks,10,182
5,9,240,ppe, 1,170
2,7,2163,diagnostics, 3,168
5,9,2897,ppe,10,165
2,7,3326,diagnostics,10,176
2,7,1947,diagnostics,10,162
3,10,4960,masks,10,172
4,2,2292,oxygen_tanks, 1,156
10,4,83,visors,20,167
1,5,1851,biologics,10,170
2,7,2094,diagnostics, 4,160
8,8,189,vaccines, 7,178
7,1,617,sanitizers, 3,160
9,6,4156,ventilators, 4,164
8,8,14,vaccines, 4,169
4,2,1204,oxygen_tanks,36,170
2,7,4160,diagnostics, 1,158
9,6,812,ventilators,20,170
4,2,2838,oxygen_tanks, 2,184
10,4,3054,visors,18,188
7,1,3895,sanitizers, 3,178
7,1,3517,sanitizers, 5,178
10,4,3193,visors,20,176
1,5,1880,biologics,10,165
2,7,2870,diagnostics,15,170
8,8,55,vaccines, 5,189
5,9,1665,ppe, 4,158
7,1,3385,sanitizers, 5,162
5,9,844,ppe,10,168
1,5,3520,biologics,10,170
7,1,4835,sanitizers,11,176
3,10,3214,masks, 3,165
8,8,3578,vaccines,10,168
5,9,4124,ppe,30,182
4,2,4367,oxygen_tanks, 2,155
10,4,309,visors, 2,150
9,6,2243,ventilators, 2,175
9,6,1281,ventilators, 1,166
6,3,454,respirators, 5,160
10,4,4507,visors, 0,176
2,7,3184,diagnostics, 4,168
10,4,2454,visors,15,160
10,4,1533,visors,14,157
1,5,2153,biologics, 2,165
2,7,4332,diagnostics, 1,163
2,7,4975,diagnostics, 8,160
4,2,926,oxygen_tanks, 1,163
2,7,3926,diagnostics,10,158
8,8,381,vaccines,10,185
10,4,2564,visors, 3,176
2,7,1990,diagnostics, 4,164
5,9,404,ppe, 0,158
8,8,3748,vaccines, 6,178
1,5,2512,biologics,10,160
8,8,3104,vaccines, 5,182
4,2,267,oxygen_tanks,10,164
3,10,1209,masks, 8,156
7,1,3287,sanitizers, 5,170
8,8,1633,vaccines, 5,168
5,9,3716,ppe, 3,184
8,8,2765,vaccines,15,176
8,8,2615,vaccines, 8,180
6,3,961,respirators,15,170
3,10,4712,masks, 0,160
8,8,3115,vaccines, 1,164
7,1,3200,sanitizers, 5,180
2,7,3515,diagnostics,10,164
6,3,858,respirators, 4,175
9,6,4343,ventilators,20,170
5,9,2046,ppe, 4,170
4,2,1505,oxygen_tanks,25,164
7,1,2031,sanitizers, 0,171
9,6,129,ventilators, 5,170
2,7,2993,diagnostics,33,164
8,8,2356,vaccines, 5,176
10,4,1002,visors, 4,169
7,1,2533,sanitizers, 6,173
2,7,323,diagnostics,20,155
1,5,1013,biologics, 3,168
3,10,1668,masks,15,171
9,6,4510,ventilators, 5,173
7,1,1502,sanitizers, 3,173
1,5,326,biologics,10,170
6,3,2734,respirators,10,176
10,4,944,visors, 8,150
5,9,993,ppe, 5,164
1,5,4753,biologics, 5,158
8,8,3117,vaccines, 2,170
3,10,4826,masks,20,158
1,5,1412,biologics, 7,154
4,2,4555,oxygen_tanks, 0,174
4,2,1492,oxygen_tanks, 6,180
8,8,974,vaccines, 0,155
2,7,4014,diagnostics,10,160
1,5,833,biologics, 4,168
7,1,1122,sanitizers, 2,175
9,6,3205,ventilators,12,171
2,7,212,diagnostics, 0,160
5,9,4928,ppe, 2,164
8,8,2742,vaccines, 1,150
10,4,224,visors,10,160
7,1,2598,sanitizers, 5,183
5,9,1873,ppe, 8,163
1,5,1544,biologics, 3,175
4,2,4887,oxygen_tanks,10,186
10,4,1057,visors, 9,170
3,10,4810,masks,10,165
2,7,144,diagnostics, 5,160
10,4,4265,visors, 6,187
3,10,3029,masks,20,181
7,1,2582,sanitizers,10,158
5,9,2439,ppe,10,185
7,1,3701,sanitizers, 6,171
8,8,156,vaccines,10,183
5,9,822,ppe,17,186
6,3,2403,respirators,10,165
10,4,3372,visors,30,173
6,3,4115,respirators,30,178
7,1,1550,sanitizers, 4,178
9,6,1354,ventilators, 0,158
4,2,3282,oxygen_tanks, 6,168
3,10,647,masks, 4,162
1,5,2929,biologics, 1,164
9,6,268,ventilators, 2,155
9,6,1847,ventilators, 2,164
5,9,2565,ppe,10,164
6,3,3840,respirators, 3,169
8,8,2318,vaccines,10,180
2,7,4010,diagnostics, 6,160
9,6,4348,ventilators, 4,155
7,1,4728,sanitizers, 4,172
4,2,4998,oxygen_tanks, 5,180
2,7,683,diagnostics,11,162
9,6,4579,ventilators, 2,178
6,3,2096,respirators,10,174
2,7,3126,diagnostics, 2,180
6,3,1114,respirators, 2,170
5,9,38,ppe, 5,169
6,3,4580,respirators, 6,168
6,3,4328,respirators, 8,170
1,5,4763,biologics, 2,176
3,10,3137,masks, 5,165
6,3,304,respirators, 5,165
9,6,69,ventilators, 4,168
9,6,1855,ventilators, 0,162
10,4,2072,visors, 3,160
3,10,2800,masks, 5,164
1,5,4813,biologics, 5,165
3,10,508,masks,10,181
1,5,3458,biologics, 2,168
8,8,3406,vaccines, 5,168
2,7,3541,diagnostics, 0,187
8,8,4132,vaccines, 2,155
5,9,3553,ppe, 2,160
7,1,1709,sanitizers, 3,164
3,10,3306,masks, 8,180
3,10,4936,masks,10,170
6,3,1039,respirators, 3,162
8,8,3799,vaccines, 9,153
6,3,4851,respirators, 4,167
5,9,682,ppe, 1,176
7,1,2630,sanitizers, 5,174
4,2,4525,oxygen_tanks, 7,187
9,6,1015,ventilators,10,176
8,8,1648,vaccines, 2,188
8,8,3749,vaccines, 6,172
2,7,3569,diagnostics,26,158
6,3,1835,respirators, 2,180
9,6,3713,ventilators, 6,185
5,9,4329,ppe, 3,168
8,8,1975,vaccines, 7,182
8,8,4326,vaccines, 6,171
2,7,28,diagnostics, 2,176
2,7,1332,diagnostics, 3,178
5,9,3355,ppe,10,152
6,3,4109,respirators, 6,176
10,4,4699,visors, 4,158
6,3,4082,respirators, 2,167
7,1,3604,sanitizers, 3,173
8,8,4281,vaccines, 6,160
4,2,2469,oxygen_tanks, 6,164
5,9,2133,ppe, 3,160
1,5,4471,biologics, 2,162
10,4,150,visors, 1,165
7,1,1299,sanitizers,10,164
9,6,3965,ventilators,10,180
10,4,1397,visors, 4,160
5,9,3212,ppe,10,175
5,9,3128,ppe, 5,178
7,1,4530,sanitizers, 1,160
3,10,2607,masks, 3,168
3,10,1113,masks, 2,162
6,3,2303,respirators, 7,168
3,10,3332,masks,11,176
5,9,108,ppe,10,160
6,3,1445,respirators, 0,171
7,1,143,sanitizers, 6,170
2,7,877,diagnostics, 1,154
7,1,2250,sanitizers,10,165
4,2,3535,oxygen_tanks, 1,180
3,10,4993,masks,10,160
3,10,1606,masks, 3,167
2,7,4617,diagnostics, 4,160
6,3,4390,respirators, 3,180
9,6,161,ventilators,10,164
10,4,3170,visors, 8,177
9,6,62,ventilators,15,180
8,8,3423,vaccines, 6,162
3,10,1664,masks, 2,170
9,6,3984,ventilators,10,172
10,4,412,visors, 5,164
9,6,3916,ventilators, 4,175
4,2,393,oxygen_tanks,10,154
10,4,3729,visors, 5,182
6,3,266,respirators, 7,165
7,1,1995,sanitizers, 0,180
6,3,1841,respirators,15,176
4,2,2712,oxygen_tanks, 2,180
3,10,978,masks, 3,183
7,1,2864,sanitizers, 3,176
10,4,4185,visors, 5,176
2,7,639,diagnostics, 5,180
1,5,1225,biologics, 6,163
2,7,3369,diagnostics, 3,155
1,5,714,biologics, 5,170
5,9,1410,ppe, 6,163
3,10,3257,masks, 3,164
7,1,1160,sanitizers, 1,165
5,9,537,ppe,15,166
6,3,1303,respirators,10,170
9,6,4467,ventilators, 2,164
7,1,3690,sanitizers, 5,165
3,10,1198,masks, 7,182
8,8,2002,vaccines,20,176
7,1,1843,sanitizers, 6,173
1,5,4437,biologics, 2,172
5,9,1631,ppe,10,183
5,9,1231,ppe,10,164
5,9,66,ppe,15,177
3,10,348,masks, 5,160
3,10,3937,masks, 5,172
10,4,3575,visors,10,168
2,7,598,diagnostics, 6,168
9,6,3268,ventilators, 1,170
5,9,1245,ppe, 6,165
10,4,339,visors, 5,164
5,9,771,ppe, 3,160
3,10,1125,masks, 2,170
2,7,804,diagnostics, 4,178
6,3,4092,respirators, 6,170
2,7,217,diagnostics, 8,174
3,10,1960,masks,10,154
10,4,4218,visors, 3,164
7,1,4422,sanitizers, 2,164
6,3,3408,respirators,10,182
10,4,2579,visors,10,174
9,6,4629,ventilators, 3,173
5,9,25,ppe,10,168
3,10,1263,masks,20,164
5,9,2859,ppe, 5,175
4,2,1772,oxygen_tanks, 0,165
6,3,3174,respirators, 7,165
7,1,16,sanitizers, 3,160
10,4,4351,visors, 2,176
1,5,1581,biologics, 4,173
9,6,3868,ventilators,12,158
2,7,450,diagnostics, 4,176
3,10,3547,masks,10,160
1,5,4369,biologics, 0,158
7,1,1659,sanitizers, 1,180
4,2,4366,oxygen_tanks,15,164
8,8,3587,vaccines,11,176
9,6,4949,ventilators, 7,170
10,4,4654,visors, 2,178
2,7,1109,diagnostics, 2,164
8,8,3870,vaccines, 7,176
